epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.35103,1.72752,2.79711,1.54548,0,0,0,0,0,69.7344,0,0.00036,0.00036,0.00036
2,5.78256,1.56415,2.02991,1.44452,0,0,0,0,0,69.4766,0,0.000725348,0.000725348,0.000725348
3,8.14917,1.61122,1.91483,1.47082,0,0,0,0,0,61.6172,0,0.00107565,0.00107565,0.00107565
4,10.4795,1.60233,1.89876,1.46761,0,0,0,0,0,143.57,0,0.0014109,0.0014109,0.0014109
5,12.8384,1.66236,1.81907,1.4461,0,0,0,0,0,271.125,0,0.0017311,0.0017311,0.0017311
6,15.186,1.63836,1.77244,1.44518,0,0,0,0,0,193.398,0,0.001802,0.001802,0.001802
7,17.5546,1.57693,1.68242,1.38967,0,0,0,0,0,250.984,0,0.0017624,0.0017624,0.0017624
8,19.9103,1.60877,1.67731,1.45292,0,0,0,0,0,162.703,0,0.0017228,0.0017228,0.0017228
9,22.2773,1.61764,1.62637,1.43319,0,0,0,0,0,156.195,0,0.0016832,0.0016832,0.0016832
10,24.6509,1.5763,1.56905,1.39746,0,0,0,0,0,149.285,0,0.0016436,0.0016436,0.0016436
11,27.1913,1.55363,1.52891,1.40865,0,0,0,0,0,198.156,0,0.001604,0.001604,0.001604
12,29.6196,1.53295,1.52823,1.39085,0,0,0,0,0,201.246,0,0.0015644,0.0015644,0.0015644
13,32.0232,1.49212,1.45313,1.35559,0,0,0,0,0,74.0674,0,0.0015248,0.0015248,0.0015248
14,34.4653,1.50662,1.4439,1.37203,0,0,0,0,0,474.406,0,0.0014852,0.0014852,0.0014852
15,36.8895,1.46379,1.36754,1.34775,0,0,0,0,0,158.023,0,0.0014456,0.0014456,0.0014456
16,39.3046,1.46947,1.37608,1.32887,0,0,0,0,0,147.98,0,0.001406,0.001406,0.001406
17,41.7416,1.46611,1.33835,1.32818,0,0,0,0,0,148.867,0,0.0013664,0.0013664,0.0013664
18,44.3534,1.42039,1.32141,1.30122,0,0,0,0,0,139.422,0,0.0013268,0.0013268,0.0013268
19,46.8652,1.44375,1.29187,1.30266,0,0,0,0,0,250.703,0,0.0012872,0.0012872,0.0012872
20,49.5376,1.41713,1.28673,1.31128,0,0,0,0,0,170.742,0,0.0012476,0.0012476,0.0012476
21,52.0567,1.38359,1.25899,1.26771,0,0,0,0,0,268.68,0,0.001208,0.001208,0.001208
22,54.5724,1.38199,1.21701,1.2642,0,0,0,0,0,231.711,0,0.0011684,0.0011684,0.0011684
23,57.0441,1.37612,1.23259,1.27965,0,0,0,0,0,211.992,0,0.0011288,0.0011288,0.0011288
24,59.6197,1.37491,1.2118,1.26066,0,0,0,0,0,257.25,0,0.0010892,0.0010892,0.0010892
25,62.1605,1.34338,1.1752,1.27119,0,0,0,0,0,263.016,0,0.0010496,0.0010496,0.0010496
26,64.6472,1.31346,1.11881,1.23779,0,0,0,0,0,168.844,0,0.00101,0.00101,0.00101
27,67.2385,1.3391,1.13015,1.248,0,0,0,0,0,213.625,0,0.0009704,0.0009704,0.0009704
28,69.8399,1.27168,1.10168,1.22354,0,0,0,0,0,311.25,0,0.0009308,0.0009308,0.0009308
29,72.4079,1.26437,1.05449,1.2015,0,0,0,0,0,250.023,0,0.0008912,0.0008912,0.0008912
30,74.8787,1.28418,1.05109,1.21107,0,0,0,0,0,185.586,0,0.0008516,0.0008516,0.0008516
31,77.3559,1.24301,1.01465,1.2051,0,0,0,0,0,207.633,0,0.000812,0.000812,0.000812
32,79.8559,1.25637,1.01692,1.20548,0,0,0,0,0,272.109,0,0.0007724,0.0007724,0.0007724
33,82.3188,1.22354,0.98245,1.17483,0,0,0,0,0,132.094,0,0.0007328,0.0007328,0.0007328
34,84.7935,1.2164,0.98292,1.1745,0,0,0,0,0,244.094,0,0.0006932,0.0006932,0.0006932
35,87.2604,1.25692,0.9938,1.18729,0,0,0,0,0,186.746,0,0.0006536,0.0006536,0.0006536
36,89.7403,1.20261,0.94089,1.17914,0,0,0,0,0,174.434,0,0.000614,0.000614,0.000614
37,92.2062,1.15376,0.9498,1.15223,0,0,0,0,0,234.82,0,0.0005744,0.0005744,0.0005744
