epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.26031,1.80642,2.833,1.58641,0,0,0,0,0,68.7852,0,0.00034,0.00034,0.00034
2,5.63009,1.61343,2.08835,1.45942,0,0,0,0,0,66.6875,0,0.00068614,0.00068614,0.00068614
3,7.92737,1.64975,1.97977,1.45821,0,0,0,0,0,82.6445,0,0.00101802,0.00101802,0.00101802
4,10.1713,1.65767,1.85543,1.45813,0,0,0,0,0,93.1875,0,0.00133565,0.00133565,0.00133565
5,12.4201,1.681,1.82563,1.47053,0,0,0,0,0,217.852,0,0.00163902,0.00163902,0.00163902
6,14.6586,1.63739,1.78073,1.4565,0,0,0,0,0,275.828,0,0.001802,0.001802,0.001802
7,16.883,1.60247,1.70643,1.44213,0,0,0,0,0,409.188,0,0.0017624,0.0017624,0.0017624
8,19.1801,1.66212,1.70501,1.43714,0,0,0,0,0,309,0,0.0017228,0.0017228,0.0017228
9,21.4483,1.63759,1.67555,1.44506,0,0,0,0,0,286.961,0,0.0016832,0.0016832,0.0016832
10,23.7076,1.55826,1.57659,1.41719,0,0,0,0,0,146.914,0,0.0016436,0.0016436,0.0016436
11,26.0706,1.57115,1.58705,1.41138,0,0,0,0,0,277.234,0,0.001604,0.001604,0.001604
12,28.3425,1.50043,1.45808,1.33568,0,0,0,0,0,178.465,0,0.0015644,0.0015644,0.0015644
13,30.6051,1.51397,1.48246,1.36922,0,0,0,0,0,225.965,0,0.0015248,0.0015248,0.0015248
14,32.9064,1.53879,1.49953,1.36651,0,0,0,0,0,260.117,0,0.0014852,0.0014852,0.0014852
15,35.222,1.50236,1.44124,1.35687,0,0,0,0,0,226.234,0,0.0014456,0.0014456,0.0014456
16,37.549,1.47888,1.3632,1.33414,0,0,0,0,0,422.281,0,0.001406,0.001406,0.001406
17,39.8597,1.46883,1.35757,1.31918,0,0,0,0,0,368.156,0,0.0013664,0.0013664,0.0013664
18,42.239,1.4436,1.34858,1.33252,0,0,0,0,0,174.703,0,0.0013268,0.0013268,0.0013268
19,44.5804,1.4497,1.31004,1.31762,0,0,0,0,0,191.578,0,0.0012872,0.0012872,0.0012872
20,47.0792,1.44705,1.29597,1.32633,0,0,0,0,0,184.055,0,0.0012476,0.0012476,0.0012476
21,49.4413,1.44632,1.30554,1.3161,0,0,0,0,0,231.812,0,0.001208,0.001208,0.001208
22,51.7869,1.40235,1.27397,1.2918,0,0,0,0,0,204.344,0,0.0011684,0.0011684,0.0011684
23,54.1171,1.36526,1.21095,1.24422,0,0,0,0,0,256.383,0,0.0011288,0.0011288,0.0011288
24,56.4996,1.36876,1.16547,1.26144,0,0,0,0,0,163.332,0,0.0010892,0.0010892,0.0010892
25,58.8296,1.36304,1.16305,1.25288,0,0,0,0,0,171,0,0.0010496,0.0010496,0.0010496
26,61.2179,1.35335,1.17481,1.24295,0,0,0,0,0,197.469,0,0.00101,0.00101,0.00101
27,63.5904,1.29887,1.13875,1.24519,0,0,0,0,0,188.633,0,0.0009704,0.0009704,0.0009704
28,65.9892,1.30165,1.13132,1.2424,0,0,0,0,0,217.961,0,0.0009308,0.0009308,0.0009308
29,68.4425,1.28498,1.06599,1.21301,0,0,0,0,0,308.742,0,0.0008912,0.0008912,0.0008912
30,70.8099,1.25906,1.06862,1.21064,0,0,0,0,0,166.195,0,0.0008516,0.0008516,0.0008516
31,73.1613,1.29432,1.05769,1.22401,0,0,0,0,0,194.055,0,0.000812,0.000812,0.000812
32,75.519,1.24301,1.01858,1.182,0,0,0,0,0,207.531,0,0.0007724,0.0007724,0.0007724
33,77.8894,1.23801,0.97948,1.17821,0,0,0,0,0,204.078,0,0.0007328,0.0007328,0.0007328
34,80.2778,1.2218,1.0081,1.19061,0,0,0,0,0,316.703,0,0.0006932,0.0006932,0.0006932
35,82.6398,1.18772,0.96774,1.17203,0,0,0,0,0,169.539,0,0.0006536,0.0006536,0.0006536
36,85.0127,1.20849,0.96768,1.17269,0,0,0,0,0,207.219,0,0.000614,0.000614,0.000614
37,87.3587,1.19206,0.93581,1.15332,0,0,0,0,0,205.812,0,0.0005744,0.0005744,0.0005744
38,89.8163,1.16826,0.92045,1.14161,0,0,0,0,0,256.906,0,0.0005348,0.0005348,0.0005348
39,92.1615,1.17863,0.90292,1.1431,0,0,0,0,0,299.438,0,0.0004952,0.0004952,0.0004952
40,94.5389,1.12883,0.89624,1.13589,0,0,0,0,0,227.156,0,0.0004556,0.0004556,0.0004556
41,98.7277,1.21412,1.05752,1.18361,0,0,0,0,0,126.953,0,0.000416,0.000416,0.000416
42,101.369,1.17161,0.96123,1.16704,0,0,0,0,0,190.508,0,0.0003764,0.0003764,0.0003764
43,103.801,1.1455,0.96845,1.13546,0,0,0,0,0,224.031,0,0.0003368,0.0003368,0.0003368
44,106.138,1.10247,0.84663,1.11172,0,0,0,0,0,294.68,0,0.0002972,0.0002972,0.0002972
45,108.44,1.09934,0.81401,1.11002,0,0,0,0,0,276.891,0,0.0002576,0.0002576,0.0002576
46,110.742,1.10429,0.81986,1.11313,0,0,0,0,0,261.82,0,0.000218,0.000218,0.000218
47,113.18,1.09991,0.80874,1.11778,0,0,0,0,0,260.828,0,0.0001784,0.0001784,0.0001784
48,115.471,1.07413,0.82144,1.10093,0,0,0,0,0,270.406,0,0.0001388,0.0001388,0.0001388
49,117.746,1.02965,0.77601,1.08345,0,0,0,0,0,270.367,0,9.92e-05,9.92e-05,9.92e-05
50,120.06,1.02948,0.75927,1.05987,0,0,0,0,0,266.258,0,5.96e-05,5.96e-05,5.96e-05
