epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.89371,1.77582,3.14733,1.59071,0,0,0,0,0,38.9395,0,0.00030006,0.00030006,0.00030006
2,7.26903,1.65145,2.29791,1.45825,0,0,0,0,0,59.4102,0,0.000604578,0.000604578,0.000604578
3,9.6683,1.64129,2.11942,1.44749,0,0,0,0,0,86.3008,0,0.000896553,0.000896553,0.000896553
4,12.0445,1.63837,2.07805,1.47171,0,0,0,0,0,172.742,0,0.00117599,0.00117599,0.00117599
5,14.4474,1.68512,1.95602,1.46329,0,0,0,0,0,153.289,0,0.00144288,0.00144288,0.00144288
6,16.8489,1.66982,1.93814,1.44733,0,0,0,0,0,298.477,0,0.00150197,0.00150197,0.00150197
7,19.2685,1.60481,1.86908,1.42592,0,0,0,0,0,312.625,0,0.00146896,0.00146896,0.00146896
8,21.6667,1.62469,1.82873,1.45078,0,0,0,0,0,244.008,0,0.00143595,0.00143595,0.00143595
9,24.0802,1.60087,1.77733,1.43661,0,0,0,0,0,376.719,0,0.00140295,0.00140295,0.00140295
10,26.5004,1.58609,1.74376,1.40738,0,0,0,0,0,322.047,0,0.00136994,0.00136994,0.00136994
11,28.9684,1.5589,1.71551,1.40419,0,0,0,0,0,308.562,0,0.00133693,0.00133693,0.00133693
12,31.4028,1.57278,1.69782,1.38856,0,0,0,0,0,201.328,0,0.00130393,0.00130393,0.00130393
13,33.831,1.51274,1.63706,1.37581,0,0,0,0,0,162.102,0,0.00127092,0.00127092,0.00127092
14,36.2741,1.52482,1.6019,1.37249,0,0,0,0,0,139.555,0,0.00123791,0.00123791,0.00123791
15,38.7099,1.47457,1.5422,1.34742,0,0,0,0,0,213.875,0,0.00120491,0.00120491,0.00120491
16,41.1632,1.48113,1.5186,1.34131,0,0,0,0,0,217.742,0,0.0011719,0.0011719,0.0011719
17,43.6261,1.4661,1.50094,1.32531,0,0,0,0,0,304.016,0,0.00113889,0.00113889,0.00113889
18,46.122,1.44825,1.48876,1.3415,0,0,0,0,0,203.945,0,0.00110589,0.00110589,0.00110589
19,49.0027,1.43439,1.46052,1.31823,0,0,0,0,0,188.98,0,0.00107288,0.00107288,0.00107288
20,51.4684,1.44527,1.45602,1.32028,0,0,0,0,0,398.516,0,0.00103987,0.00103987,0.00103987
21,53.9623,1.42057,1.41536,1.28912,0,0,0,0,0,241.188,0,0.00100687,0.00100687,0.00100687
22,56.4759,1.39452,1.36494,1.2671,0,0,0,0,0,208.93,0,0.000973861,0.000973861,0.000973861
23,58.96,1.38799,1.36365,1.27397,0,0,0,0,0,182.07,0,0.000940855,0.000940855,0.000940855
24,61.4405,1.39165,1.34508,1.27576,0,0,0,0,0,293.398,0,0.000907848,0.000907848,0.000907848
25,63.9304,1.34994,1.3032,1.25883,0,0,0,0,0,199.848,0,0.000874842,0.000874842,0.000874842
26,66.4249,1.31232,1.2491,1.23187,0,0,0,0,0,205.621,0,0.000841835,0.000841835,0.000841835
27,68.9147,1.33311,1.23995,1.24418,0,0,0,0,0,232.891,0,0.000808828,0.000808828,0.000808828
28,71.4084,1.27834,1.2203,1.22684,0,0,0,0,0,256.93,0,0.000775822,0.000775822,0.000775822
29,73.8864,1.27701,1.17814,1.20681,0,0,0,0,0,284.43,0,0.000742815,0.000742815,0.000742815
30,76.3802,1.29342,1.19056,1.21787,0,0,0,0,0,273.984,0,0.000709809,0.000709809,0.000709809
31,78.8721,1.27022,1.14036,1.22083,0,0,0,0,0,400.922,0,0.000676802,0.000676802,0.000676802
32,81.3743,1.28315,1.13992,1.20971,0,0,0,0,0,391.156,0,0.000643795,0.000643795,0.000643795
33,83.8645,1.24639,1.10581,1.18844,0,0,0,0,0,268.562,0,0.000610789,0.000610789,0.000610789
34,86.3407,1.23964,1.12377,1.18166,0,0,0,0,0,298.5,0,0.000577782,0.000577782,0.000577782
35,88.8204,1.26262,1.10228,1.18892,0,0,0,0,0,233.039,0,0.000544776,0.000544776,0.000544776
36,91.3092,1.21875,1.0813,1.18772,0,0,0,0,0,301.461,0,0.000511769,0.000511769,0.000511769
37,93.7734,1.18461,1.08101,1.16891,0,0,0,0,0,323.82,0,0.000478762,0.000478762,0.000478762
38,96.2505,1.18951,1.02775,1.14925,0,0,0,0,0,304.711,0,0.000445756,0.000445756,0.000445756
39,98.7138,1.17007,1.01477,1.14825,0,0,0,0,0,319.414,0,0.000412749,0.000412749,0.000412749
40,101.203,1.16221,0.98048,1.1302,0,0,0,0,0,291.023,0,0.000379743,0.000379743,0.000379743
41,106.285,1.22473,1.26341,1.16762,0,0,0,0,0,211.133,0,0.000346736,0.000346736,0.000346736
42,108.83,1.18908,1.08284,1.13969,0,0,0,0,0,209.008,0,0.000313729,0.000313729,0.000313729
43,111.285,1.17606,1.04068,1.15865,0,0,0,0,0,297.648,0,0.000280723,0.000280723,0.000280723
44,113.702,1.13528,1.01015,1.1413,0,0,0,0,0,322.047,0,0.000247716,0.000247716,0.000247716
45,116.095,1.10786,0.9608,1.11611,0,0,0,0,0,423.969,0,0.00021471,0.00021471,0.00021471
46,118.516,1.10055,0.91438,1.09743,0,0,0,0,0,372,0,0.000181703,0.000181703,0.000181703
47,120.943,1.07156,0.90972,1.09638,0,0,0,0,0,352.672,0,0.000148696,0.000148696,0.000148696
48,123.378,1.06338,0.87803,1.09096,0,0,0,0,0,384.797,0,0.00011569,0.00011569,0.00011569
49,125.813,1.05405,0.86812,1.07618,0,0,0,0,0,399.719,0,8.26832e-05,8.26832e-05,8.26832e-05
50,128.29,1.04333,0.87244,1.0868,0,0,0,0,0,384.047,0,4.96766e-05,4.96766e-05,4.96766e-05
