epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.1842,1.82776,2.90217,1.61613,0,0,0,0,0,68.5781,0,0.0003,0.0003,0.0003
2,5.16009,1.65492,1.99361,1.44727,0,0,0,0,0,71.043,0,0.000607724,0.000607724,0.000607724
3,7.23493,1.61576,1.81614,1.43195,0,0,0,0,0,103.742,0,0.000902776,0.000902776,0.000902776
4,9.2232,1.62578,1.79899,1.42677,0,0,0,0,0,100.473,0,0.00118516,0.00118516,0.00118516
5,11.1858,1.62181,1.75001,1.45091,0,0,0,0,0,147.586,0,0.00145486,0.00145486,0.00145486
6,13.1502,1.62766,1.81711,1.46779,0,0,0,0,0,125.562,0,0.0017119,0.0017119,0.0017119
7,15.1393,1.60166,1.69214,1.41533,0,0,0,0,0,378.438,0,0.0017624,0.0017624,0.0017624
8,17.1323,1.62476,1.69548,1.49416,0,0,0,0,0,141.219,0,0.0017228,0.0017228,0.0017228
9,19.1193,1.53025,1.58724,1.39438,0,0,0,0,0,188.711,0,0.0016832,0.0016832,0.0016832
10,21.1133,1.62738,1.57523,1.43789,0,0,0,0,0,313.391,0,0.0016436,0.0016436,0.0016436
11,23.0945,1.55149,1.51723,1.38307,0,0,0,0,0,177.395,0,0.001604,0.001604,0.001604
12,25.0991,1.51149,1.44841,1.34546,0,0,0,0,0,145.639,0,0.0015644,0.0015644,0.0015644
13,27.2057,1.54242,1.46953,1.39555,0,0,0,0,0,126.965,0,0.0015248,0.0015248,0.0015248
14,29.2446,1.50982,1.44602,1.35004,0,0,0,0,0,350.461,0,0.0014852,0.0014852,0.0014852
15,31.2669,1.5263,1.49371,1.37891,0,0,0,0,0,328.125,0,0.0014456,0.0014456,0.0014456
16,33.2874,1.46104,1.3962,1.32901,0,0,0,0,0,174.367,0,0.001406,0.001406,0.001406
17,35.3112,1.45332,1.42428,1.31973,0,0,0,0,0,201.609,0,0.0013664,0.0013664,0.0013664
18,37.3361,1.43941,1.28352,1.31087,0,0,0,0,0,186.641,0,0.0013268,0.0013268,0.0013268
19,39.3803,1.4224,1.26809,1.30237,0,0,0,0,0,166.004,0,0.0012872,0.0012872,0.0012872
20,41.3936,1.44102,1.27879,1.32317,0,0,0,0,0,158.812,0,0.0012476,0.0012476,0.0012476
21,43.4174,1.42487,1.38354,1.32453,0,0,0,0,0,210.898,0,0.001208,0.001208,0.001208
22,45.5454,1.37057,1.27235,1.27017,0,0,0,0,0,196.18,0,0.0011684,0.0011684,0.0011684
23,47.5943,1.3731,1.20822,1.27695,0,0,0,0,0,169.914,0,0.0011288,0.0011288,0.0011288
24,49.6489,1.32565,1.18057,1.25622,0,0,0,0,0,205.641,0,0.0010892,0.0010892,0.0010892
25,51.67,1.40388,1.22422,1.29012,0,0,0,0,0,182.547,0,0.0010496,0.0010496,0.0010496
26,53.7096,1.3221,1.13353,1.22444,0,0,0,0,0,168.07,0,0.00101,0.00101,0.00101
27,55.737,1.26969,1.10484,1.21792,0,0,0,0,0,175.715,0,0.0009704,0.0009704,0.0009704
28,57.7734,1.28829,1.10092,1.20871,0,0,0,0,0,209.906,0,0.0009308,0.0009308,0.0009308
29,59.8078,1.26776,1.07703,1.20236,0,0,0,0,0,149.223,0,0.0008912,0.0008912,0.0008912
30,61.8501,1.30877,1.08764,1.22264,0,0,0,0,0,191.57,0,0.0008516,0.0008516,0.0008516
31,63.9037,1.31093,1.08281,1.21877,0,0,0,0,0,210.953,0,0.000812,0.000812,0.000812
32,66.0528,1.27452,1.00449,1.18884,0,0,0,0,0,197.695,0,0.0007724,0.0007724,0.0007724
33,68.0946,1.20609,0.94596,1.17086,0,0,0,0,0,308.906,0,0.0007328,0.0007328,0.0007328
34,70.1401,1.27893,1.06888,1.19277,0,0,0,0,0,220.547,0,0.0006932,0.0006932,0.0006932
